Piso,Indice,Muro,ejes,Fecha,Radicado de recibo de compra
4,86,M-22,"19; Q",2026-05-15,RC-2026-629140
4,87,M-23,"20; O",2026-05-15,RC-2026-411850
4,88,M-24,"20; H",2026-05-15,RC-2026-719312
4,89,M-23,"20; K",2026-05-15,RC-2026-339813
4,90,M-27,"21; I",2026-05-15,RC-2026-827943
4,91,M-25,"21; M",2026-05-15,RC-2026-749360
4,92,M-26,"21; K",2026-05-15,RC-2026-588516
4,93,M-26,"21; O",2026-05-15,RC-2026-175227
4,94,M-25,"21; N",2026-05-15,RC-2026-601501
4,95,M-27,"21; P",2026-05-15,RC-2026-175315
4,96,M-24,"20; Q",2026-05-15,RC-2026-338225
4,97,M-32,"22; 23; N",2026-05-15,RC-2026-637018
4,98,M-23,"22; O",2026-05-15,RC-2026-361201
4,99,M-21,"23; O",2026-05-15,RC-2026-642095
4,100,M-24,"22; Q",2026-05-15,RC-2026-592592
4,101,M-22,"23; Q",2026-05-15,RC-2026-498166
4,102,M-33,"24; N; O; P",2026-05-15,RC-2026-855981
4,103,M-33A,"24; I; K; M",2026-05-15,RC-2026-838133
4,104,M-32,"22; 23; M",2026-05-15,RC-2026-557616
4,105,M-21,"23; K",2026-05-15,RC-2026-498832
4,106,M-23,"22; K",2026-05-15,RC-2026-902025
4,107,M-24,"22; H",2026-05-15,RC-2026-973084
4,108,M-22,"23; H",2026-05-15,RC-2026-440670
4,109,M-34A,"25; I; K; M",2026-05-15,RC-2026-316594
4,110,M-34,"25; N; O; P",2026-05-15,RC-2026-416759
4,111,M-24,"26; Q",2026-05-15,RC-2026-161433
4,112,M-22,"27; Q",2026-05-15,RC-2026-131177
4,113,M-21,"27; O",2026-05-15,RC-2026-544555
4,114,M-23,"26; O",2026-05-15,RC-2026-638022
4,115,M-35,"26; 27; N",2026-05-15,RC-2026-263989
4,116,M-36,"28; N; O; P",2026-05-15,RC-2026-819388
4,117,M-36,"28; I; K; M",2026-05-15,RC-2026-833817
4,118,M-21,"27; K",2026-05-15,RC-2026-832948
4,119,M-23,"26; K",2026-05-15,RC-2026-768210
4,120,M-24,"26; H",2026-05-15,RC-2026-125577
4,121,M-22,"27; H",2026-05-15,RC-2026-369755
4,122,35,"26; 27; M",2026-05-15,RC-2026-981767
